   lexemeCurrentNode         lineno          token  valuelfNumber     isLeafNode               NodeSymbol
                ----           ----           ----           ----             NO                <program>
                ----           ----           ----           ----             NO         <otherFunctions>
                ----           ----           ----           ----             NO               <function>
          _readMarks              8       TK_FUNID           ----            YES                     ----
                ----           ----           ----           ----             NO              <input_par>
                ----           ----           ----           ----             NO         <parameter_list>
                 int              8         TK_INT           ----            YES                     ----
                  b7              8          TK_ID           ----            YES                     ----
                ----           ----           ----           ----             NO             <output_par>
                ----           ----           ----           ----             NO         <parameter_list>
                ----           ----           ----           ----             NO    <constructedDatatype>
              record              9      TK_RECORD           ----            YES                     ----
              #marks              9    TK_RECORDID           ----            YES                     ----
               b3c45              9          TK_ID           ----            YES                     ----
                ----           ----           ----           ----             NO                  <stmts>
                ----           ----           ----           ----             NO             <otherStmts>
                ----           ----           ----           ----             NO          <singleOrRecId>
               b3c45             10          TK_ID           ----            YES                     ----
               maths             10     TK_FIELDID           ----            YES                     ----
                ----           ----           ----           ----             NO             <otherStmts>
                ----           ----           ----           ----             NO          <singleOrRecId>
               b3c45             11          TK_ID           ----            YES                     ----
             physics             11     TK_FIELDID           ----            YES                     ----
                ----           ----           ----           ----             NO             <otherStmts>
                ----           ----           ----           ----             NO          <singleOrRecId>
               b3c45             12          TK_ID           ----            YES                     ----
           chemistry             12     TK_FIELDID           ----            YES                     ----
                ----           ----           ----           ----             NO             <returnStmt>
              return             13      TK_RETURN           ----            YES                     ----
                ----           ----           ----           ----             NO                 <idList>
               b3c45             13          TK_ID           ----            YES                     ----
                ----           ----           ----           ----             NO           <mainFunction>
               _main             20        TK_MAIN           ----            YES                     ----
                ----           ----           ----           ----             NO                  <stmts>
                ----           ----           ----           ----             NO        <typeDefinitions>
                ----           ----           ----           ----             NO         <typeDefinition>
              record             21      TK_RECORD           ----            YES                     ----
              #marks             21    TK_RECORDID           ----            YES                     ----
                ----           ----           ----           ----             NO       <fieldDefinitions>
                ----           ----           ----           ----             NO        <fieldDefinition>
                real             22        TK_REAL           ----            YES                     ----
               maths             22     TK_FIELDID           ----            YES                     ----
                ----           ----           ----           ----             NO        <fieldDefinition>
                real             23        TK_REAL           ----            YES                     ----
             physics             23     TK_FIELDID           ----            YES                     ----
                ----           ----           ----           ----             NO             <moreFields>
                ----           ----           ----           ----             NO        <fieldDefinition>
                real             24        TK_REAL           ----            YES                     ----
           chemistry             24     TK_FIELDID           ----            YES                     ----
