lexemeCurrentNode	lineno	token	valueIfNumber	parentNodeSymbol	isLeafNode	NodeSymbol
----	----	----	----	ROOT	no	<PROGRAM>
----	----	----	----	<PROGRAM>	no	<MAINFUNCTION>
----	----	----	----	<MAINFUNCTION>	no	TK_END
end	24	TK_END	end	TK_END	yes	----
----	----	----	----	<MAINFUNCTION>	no	<STMTS>
----	----	----	----	<STMTS>	no	<RETURNSTMT>
----	----	----	----	<RETURNSTMT>	no	TK_SEM
;	23	TK_SEM	;	TK_SEM	yes	----
----	----	----	----	<RETURNSTMT>	no	<OPTIONALRETURN>
----	----	----	----	<RETURNSTMT>	no	TK_RETURN
return	23	TK_RETURN	return	TK_RETURN	yes	----
----	----	----	----	<STMTS>	no	<OTHERSTMTS>
----	----	----	----	<OTHERSTMTS>	no	<OTHERSTMTS>
----	----	----	----	<OTHERSTMTS>	no	<OTHERSTMTS>
----	----	----	----	<OTHERSTMTS>	no	<OTHERSTMTS>
----	----	----	----	<OTHERSTMTS>	no	<STMT>
----	----	----	----	<STMT>	no	<IOSTMT>
----	----	----	----	<IOSTMT>	no	TK_SEM
;	22	TK_SEM	;	TK_SEM	yes	----
----	----	----	----	<IOSTMT>	no	TK_CL
)	22	TK_CL	)	TK_CL	yes	----
----	----	----	----	<IOSTMT>	no	<ALLVAR>
----	----	----	----	<ALLVAR>	no	<VAR>
----	----	----	----	<VAR>	no	TK_ID
c4bd56	22	TK_ID	c4bd56	TK_ID	yes	----
----	----	----	----	<IOSTMT>	no	TK_OP
(	22	TK_OP	(	TK_OP	yes	----
----	----	----	----	<IOSTMT>	no	TK_WRITE
write	22	TK_WRITE	write	TK_WRITE	yes	----
----	----	----	----	<OTHERSTMTS>	no	<STMT>
----	----	----	----	<STMT>	no	<FUNCALLSTMT>
----	----	----	----	<FUNCALLSTMT>	no	TK_SEM
;	21	TK_SEM	;	TK_SEM	yes	----
----	----	----	----	<FUNCALLSTMT>	no	<INPUTPARAMETERS>
----	----	----	----	<INPUTPARAMETERS>	no	TK_SQR
]	21	TK_SQR	]	TK_SQR	yes	----
