   lexemeCurrentNode         lineno          token  valuelfNumber         parentNodeSymbol     isLeafNode               NodeSymbol
                ----           ----           ----           ----                     ROOT             NO                <program>
                ----           ----           ----           ----                <program>             NO         <otherFunctions>
                ----           ----           ----           ----         <otherFunctions>             NO               <function>
            _swpints              1       TK_FUNID           ----               <function>            YES                     ----
                ----           ----           ----           ----               <function>             NO              <input_par>
               input              2       TK_INPUT           ----              <input_par>            YES                     ----
           parameter              2   TK_PARAMETER           ----              <input_par>            YES                     ----
                list              2        TK_LIST           ----              <input_par>            YES                     ----
                   [              2         TK_SQL           ----              <input_par>            YES                     ----
                ----           ----           ----           ----              <input_par>             NO         <parameter_list>
                ----           ----           ----           ----         <parameter_list>             NO               <dataType>
                ----           ----           ----           ----               <dataType>             NO      <primitiveDatatype>
                 int              2         TK_INT           ----      <primitiveDatatype>            YES                     ----
                 b2b              2          TK_ID           ----         <parameter_list>            YES                     ----
                ----           ----           ----           ----         <parameter_list>             NO         <remaining_list>
                   ,              2       TK_COMMA           ----         <remaining_list>            YES                     ----
                ----           ----           ----           ----         <remaining_list>             NO         <parameter_list>
                ----           ----           ----           ----         <parameter_list>             NO               <dataType>
                ----           ----           ----           ----               <dataType>             NO      <primitiveDatatype>
                 int              2         TK_INT           ----      <primitiveDatatype>            YES                     ----
                 b2c              2          TK_ID           ----         <parameter_list>            YES                     ----
                ----           ----           ----           ----         <parameter_list>             NO         <remaining_list>
                ----           ----            eps           ----         <remaining_list>            YES                     ----
                   ]              2         TK_SQR           ----              <input_par>            YES                     ----
                ----           ----           ----           ----               <function>             NO             <output_par>
              output              3      TK_OUTPUT           ----             <output_par>            YES                     ----
           parameter              3   TK_PARAMETER           ----             <output_par>            YES                     ----
                list              3        TK_LIST           ----             <output_par>            YES                     ----
                   [              3         TK_SQL           ----             <output_par>            YES                     ----
                ----           ----           ----           ----             <output_par>             NO         <parameter_list>
                ----           ----           ----           ----         <parameter_list>             NO               <dataType>
                ----           ----           ----           ----               <dataType>             NO      <primitiveDatatype>
                 int              3         TK_INT           ----      <primitiveDatatype>            YES                     ----
                 c2b              3          TK_ID           ----         <parameter_list>            YES                     ----
                ----           ----           ----           ----         <parameter_list>             NO         <remaining_list>
                   ,              3       TK_COMMA           ----         <remaining_list>            YES                     ----
                ----           ----           ----           ----         <remaining_list>             NO         <parameter_list>
                ----           ----           ----           ----         <parameter_list>             NO               <dataType>
                ----           ----           ----           ----               <dataType>             NO      <primitiveDatatype>
                 int              3         TK_INT           ----      <primitiveDatatype>            YES                     ----
                 c2c              3          TK_ID           ----         <parameter_list>            YES                     ----
                ----           ----           ----           ----         <parameter_list>             NO         <remaining_list>
                ----           ----            eps           ----         <remaining_list>            YES                     ----
                   ]              3         TK_SQR           ----             <output_par>            YES                     ----
                   ;              3         TK_SEM           ----               <function>            YES                     ----
                ----           ----           ----           ----               <function>             NO                  <stmts>
                ----           ----           ----           ----                  <stmts>             NO        <typeDefinitions>
                ----           ----            eps           ----        <typeDefinitions>            YES                     ----
                ----           ----           ----           ----                  <stmts>             NO           <declarations>
                ----           ----            eps           ----           <declarations>            YES                     ----
                ----           ----           ----           ----                  <stmts>             NO             <otherStmts>
                ----           ----           ----           ----             <otherStmts>             NO                   <stmt>
                ----           ----           ----           ----                   <stmt>             NO         <assignmentStmt>
                ----           ----           ----           ----         <assignmentStmt>             NO          <singleOrRecId>
                 c2b              5          TK_ID           ----          <singleOrRecId>            YES                     ----
                ----           ----           ----           ----          <singleOrRecId>             NO                 <new_24>
                ----           ----            eps           ----                 <new_24>            YES                     ----
                <---              5    TK_ASSIGNOP           ----         <assignmentStmt>            YES                     ----
                ----           ----           ----           ----         <assignmentStmt>             NO   <arithmeticExpression>
                ----           ----           ----           ----   <arithmeticExpression>             NO                   <term>
                ----           ----           ----           ----                   <term>             NO                 <factor>
                ----           ----           ----           ----                 <factor>             NO                 <allVar>
                ----           ----           ----           ----                 <allVar>             NO          <singleOrRecId>
                 b2c              5          TK_ID           ----          <singleOrRecId>            YES                     ----
                ----           ----           ----           ----          <singleOrRecId>             NO                 <new_24>
                ----           ----            eps           ----                 <new_24>            YES                     ----
                ----           ----           ----           ----                   <term>             NO              <termPrime>
                ----           ----            eps           ----              <termPrime>            YES                     ----
                ----           ----           ----           ----   <arithmeticExpression>             NO               <expPrime>
                ----           ----            eps           ----               <expPrime>            YES                     ----
                   ;              5         TK_SEM           ----         <assignmentStmt>            YES                     ----
                ----           ----           ----           ----             <otherStmts>             NO             <otherStmts>
                ----           ----           ----           ----             <otherStmts>             NO                   <stmt>
                ----           ----           ----           ----                   <stmt>             NO         <assignmentStmt>
                ----           ----           ----           ----         <assignmentStmt>             NO          <singleOrRecId>
                 c2c              6          TK_ID           ----          <singleOrRecId>            YES                     ----
                ----           ----           ----           ----          <singleOrRecId>             NO                 <new_24>
                ----           ----            eps           ----                 <new_24>            YES                     ----
                <---              6    TK_ASSIGNOP           ----         <assignmentStmt>            YES                     ----
                ----           ----           ----           ----         <assignmentStmt>             NO   <arithmeticExpression>
                ----           ----           ----           ----   <arithmeticExpression>             NO                   <term>
                ----           ----           ----           ----                   <term>             NO                 <factor>
                ----           ----           ----           ----                 <factor>             NO                 <allVar>
                ----           ----           ----           ----                 <allVar>             NO          <singleOrRecId>
                 b2b              6          TK_ID           ----          <singleOrRecId>            YES                     ----
                ----           ----           ----           ----          <singleOrRecId>             NO                 <new_24>
                ----           ----            eps           ----                 <new_24>            YES                     ----
                ----           ----           ----           ----                   <term>             NO              <termPrime>
                ----           ----            eps           ----              <termPrime>            YES                     ----
                ----           ----           ----           ----   <arithmeticExpression>             NO               <expPrime>
                ----           ----            eps           ----               <expPrime>            YES                     ----
                   ;              6         TK_SEM           ----         <assignmentStmt>            YES                     ----
                ----           ----           ----           ----             <otherStmts>             NO             <otherStmts>
                ----           ----            eps           ----             <otherStmts>            YES                     ----
                ----           ----           ----           ----                  <stmts>             NO             <returnStmt>
              return              7      TK_RETURN           ----             <returnStmt>            YES                     ----
                ----           ----           ----           ----             <returnStmt>             NO         <optionalReturn>
                   [              7         TK_SQL           ----         <optionalReturn>            YES                     ----
                ----           ----           ----           ----         <optionalReturn>             NO                 <idList>
                 c2b              7          TK_ID           ----                 <idList>            YES                     ----
                ----           ----           ----           ----                 <idList>             NO               <more_ids>
                   ,              7       TK_COMMA           ----               <more_ids>            YES                     ----
                ----           ----           ----           ----               <more_ids>             NO                 <idList>
                 c2c              7          TK_ID           ----                 <idList>            YES                     ----
                ----           ----           ----           ----                 <idList>             NO               <more_ids>
                ----           ----            eps           ----               <more_ids>            YES                     ----
                   ]              7         TK_SQR           ----         <optionalReturn>            YES                     ----
                   ;              7         TK_SEM           ----             <returnStmt>            YES                     ----
                 end              8         TK_END           ----               <function>            YES                     ----
                ----           ----           ----           ----         <otherFunctions>             NO         <otherFunctions>
                ----           ----           ----           ----         <otherFunctions>             NO               <function>
            _swprecs             10       TK_FUNID           ----               <function>            YES                     ----
                ----           ----           ----           ----               <function>             NO              <input_par>
               input             11       TK_INPUT           ----              <input_par>            YES                     ----
           parameter             11   TK_PARAMETER           ----              <input_par>            YES                     ----
                list             11        TK_LIST           ----              <input_par>            YES                     ----
                   [             11         TK_SQL           ----              <input_par>            YES                     ----
                ----           ----           ----           ----              <input_par>             NO         <parameter_list>
                ----           ----           ----           ----         <parameter_list>             NO               <dataType>
                ----           ----           ----           ----               <dataType>             NO    <constructedDatatype>
              record             11      TK_RECORD           ----    <constructedDatatype>            YES                     ----
                #rec             11    TK_RECORDID           ----    <constructedDatatype>            YES                     ----
                 d5b             11          TK_ID           ----         <parameter_list>            YES                     ----
                ----           ----           ----           ----         <parameter_list>             NO         <remaining_list>
                   ,             11       TK_COMMA           ----         <remaining_list>            YES                     ----
                ----           ----           ----           ----         <remaining_list>             NO         <parameter_list>
                ----           ----           ----           ----         <parameter_list>             NO               <dataType>
                ----           ----           ----           ----               <dataType>             NO    <constructedDatatype>
              record             11      TK_RECORD           ----    <constructedDatatype>            YES                     ----
                #rec             11    TK_RECORDID           ----    <constructedDatatype>            YES                     ----
                 d2c             11          TK_ID           ----         <parameter_list>            YES                     ----
                ----           ----           ----           ----         <parameter_list>             NO         <remaining_list>
                ----           ----            eps           ----         <remaining_list>            YES                     ----
                   ]             11         TK_SQR           ----              <input_par>            YES                     ----
                ----           ----           ----           ----               <function>             NO             <output_par>
              output             12      TK_OUTPUT           ----             <output_par>            YES                     ----
           parameter             12   TK_PARAMETER           ----             <output_par>            YES                     ----
                list             12        TK_LIST           ----             <output_par>            YES                     ----
                   [             12         TK_SQL           ----             <output_par>            YES                     ----
                ----           ----           ----           ----             <output_par>             NO         <parameter_list>
                ----           ----           ----           ----         <parameter_list>             NO               <dataType>
                ----           ----           ----           ----               <dataType>             NO    <constructedDatatype>
              record             12      TK_RECORD           ----    <constructedDatatype>            YES                     ----
                #rec             12    TK_RECORDID           ----    <constructedDatatype>            YES                     ----
                 d5c             12          TK_ID           ----         <parameter_list>            YES                     ----
                ----           ----           ----           ----         <parameter_list>             NO         <remaining_list>
                   ,             12       TK_COMMA           ----         <remaining_list>            YES                     ----
                ----           ----           ----           ----         <remaining_list>             NO         <parameter_list>
                ----           ----           ----           ----         <parameter_list>             NO               <dataType>
                ----           ----           ----           ----               <dataType>             NO    <constructedDatatype>
              record             12      TK_RECORD           ----    <constructedDatatype>            YES                     ----
                #rec             12    TK_RECORDID           ----    <constructedDatatype>            YES                     ----
                 d2b             12          TK_ID           ----         <parameter_list>            YES                     ----
                ----           ----           ----           ----         <parameter_list>             NO         <remaining_list>
                ----           ----            eps           ----         <remaining_list>            YES                     ----
                   ]             12         TK_SQR           ----             <output_par>            YES                     ----
                   ;             12         TK_SEM           ----               <function>            YES                     ----
                ----           ----           ----           ----               <function>             NO                  <stmts>
                ----           ----           ----           ----                  <stmts>             NO        <typeDefinitions>
                ----           ----            eps           ----        <typeDefinitions>            YES                     ----
                ----           ----           ----           ----                  <stmts>             NO           <declarations>
                ----           ----           ----           ----           <declarations>             NO            <declaration>
                type             13        TK_TYPE           ----            <declaration>            YES                     ----
                ----           ----           ----           ----            <declaration>             NO               <dataType>
                ----           ----           ----           ----               <dataType>             NO      <primitiveDatatype>
